2018-11-19 04:49:00 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-2', file to read: C:\temp\split\73.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:29200000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:49:00 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-3', file to read: C:\temp\split\74.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:29600000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:49:00 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-4', file to read: C:\temp\split\75.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:30000000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:49:01 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-1', file to read: C:\temp\split\76.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:30400000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:49:01 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-2', file to read: C:\temp\split\77.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:30800000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:49:01 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-3', file to read: C:\temp\split\78.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:31200000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:49:01 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-4', file to read: C:\temp\split\79.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:31600000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:49:02 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-1', file to read: C:\temp\split\80.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:32000000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:49:02 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-2', file to read: C:\temp\split\81.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:32400000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:49:02 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-3', file to read: C:\temp\split\82.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:32800000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:49:03 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-4', file to read: C:\temp\split\83.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:33200000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:49:04 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-1', file to read: C:\temp\split\84.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:33600000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:49:04 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-2', file to read: C:\temp\split\85.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:34000000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:49:04 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-3', file to read: C:\temp\split\86.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:34400000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:49:04 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-4', file to read: C:\temp\split\87.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:34800000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:49:05 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-1', file to read: C:\temp\split\88.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:35200000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:49:05 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-2', file to read: C:\temp\split\89.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:35600000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:49:05 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-3', file to read: C:\temp\split\90.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:36000000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:49:05 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-4', file to read: C:\temp\split\91.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:36400000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:49:06 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-1', file to read: C:\temp\split\92.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:36800000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:49:06 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-2', file to read: C:\temp\split\93.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:37200000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:49:06 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-3', file to read: C:\temp\split\94.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:37600000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:49:06 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-4', file to read: C:\temp\split\95.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:38000000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:49:07 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-1', file to read: C:\temp\split\96.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:38400000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:49:07 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-2', file to read: C:\temp\split\97.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:38800000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:49:07 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-3', file to read: C:\temp\split\98.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:39200000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:49:07 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-4', file to read: C:\temp\split\99.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:39600000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:49:08 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-1', file to read: C:\temp\split\100.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:40000000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:49:08 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-2', file to read: C:\temp\split\101.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:40400000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:49:08 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-3', file to read: C:\temp\split\102.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:40800000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:49:08 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-4', file to read: C:\temp\split\103.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:41200000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:49:09 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-1', file to read: C:\temp\split\104.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:41600000, write file length = 400000, user command: 'MERGE'}
